Feature,Subfeature/Function,Address/Type,Hardhat_Support,Foundry/Anvil_Support,Evidence,Proposed_Fix,Priority,Notes
ArbSys,Basic Chain Info,arbBlockNumber(),Not Supported,Not Supported,"probes/hardhat/test/arb-probes.ts - CALL_EXCEPTION with empty data",Emulate with block.number,P0,Returns current L2 block number
ArbSys,Basic Chain Info,arbChainID(),Not Supported,Not Supported,"probes/hardhat/test/arb-probes.ts - CALL_EXCEPTION with empty data",Emulate with configurable chain ID,P0,Returns Arbitrum chain ID (42161)
ArbSys,Block History,arbBlockHash(uint256),Not Supported,Not Supported,Not tested in probes,Emulate with block hash mapping,P1,Range: currentBlockNum-256 to currentBlockNum
ArbSys,System Version,arbOSVersion(),Not Supported,Not Supported,Not tested in probes,Emulate with configurable version,P1,Returns current ArbOS version
ArbSys,Address Aliasing,isL1ContractAddressAliased(),Not Supported,Not Supported,Not tested in probes,Emulate with address mapping,P1,Check if caller is L1 contract alias
ArbSys,Address Aliasing,mapL1SenderContractAddressToL2Alias(address,address),Not Supported,Not Supported,Not tested in probes,Emulate with address mapping,P1,Map L1 contract address to L2 alias
ArbSys,L1→L2 Messaging,withdrawEth(address),Not Supported,Not Supported,Not tested in probes,Emulate with event emission,P1,Initiate ETH withdrawal from L2 to L1
ArbSys,L1→L2 Messaging,sendTxToL1(address,bytes),Not Supported,Not Supported,Not tested in probes,Emulate with event emission,P1,Send arbitrary message from L2 to L1
ArbSys,Legacy Functions,isTopLevelCall(),Not Supported,Not Supported,Not tested in probes,Emulate with call stack depth,P2,DEPRECATED - may be removed
ArbSys,Legacy Functions,getStorageGasAvailable(),Not Supported,Not Supported,Not tested in probes,Always return 0,P2,Always returns 0 in Nitro
ArbGasInfo,Gas Pricing,getPricesInWei(),Not Supported,Not Supported,"probes/hardhat/test/arb-probes.ts - CALL_EXCEPTION with empty data",Emulate with mock pricing,P0,Returns 5-tuple of gas components
ArbGasInfo,L1 Cost Estimation,getL1BaseFeeEstimate(),Not Supported,Not Supported,Not tested in probes,Emulate with configurable L1 fee,P0,Get estimated L1 base fee
ArbGasInfo,Aggregator Pricing,getPricesInWeiWithAggregator(address),Not Supported,Not Supported,Not tested in probes,Emulate with mock aggregator,P0,Returns 6-tuple for specific aggregator
ArbGasInfo,ArbGas Pricing,getPricesInArbGas(),Not Supported,Not Supported,Not tested in probes,Emulate with mock pricing,P1,Returns 3-tuple in ArbGas units
ArbGasInfo,Aggregator ArbGas,getPricesInArbGasWithAggregator(address),Not Supported,Not Supported,Not tested in probes,Emulate with mock aggregator,P1,Returns 3-tuple for specific aggregator
ArbGasInfo,Transaction Fees,getCurrentTxL1GasFees(),Not Supported,Not Supported,"probes/hardhat/test/arb-probes.ts - CALL_EXCEPTION with empty data",Emulate with calldata calculation,P1,Get L1 gas fees for current tx
ArbGasInfo,System Parameters,getGasAccountingParams(),Not Supported,Not Supported,Not tested in probes,Emulate with configurable params,P2,Get gas accounting parameters
ArbGasInfo,System Parameters,getGasBacklog(),Not Supported,Not Supported,Not tested in probes,Emulate with mock backlog,P2,Get current gas backlog
ArbGasInfo,System Parameters,getPricingInertia(),Not Supported,Not Supported,Not tested in probes,Emulate with configurable inertia,P2,Get pricing inertia parameter
ArbGasInfo,System Parameters,getL1PricingSurplus(),Not Supported,Not Supported,Not tested in probes,Emulate with mock surplus,P2,Get L1 pricing surplus/deficit
Deposit_Transaction,Transaction Parsing,RLP Decoding,Partial,Not Supported,"probes/hardhat/scripts/probe-0x7e.ts - Transaction accepted but may not have proper semantics",Implement proper 0x7e parser,P0,Hardhat accepts but may not process correctly
Deposit_Transaction,Transaction Execution,Deposit Processing,Not Supported,Not Supported,Not tested in probes,Implement deposit transaction handler,P0,Execute with L1→L2 address resolution
Deposit_Transaction,Signature Validation,ECDSA Verification,Not Supported,Not Supported,Not tested in probes,Implement signature validation,P0,Validate ECDSA signature for deposit
Deposit_Transaction,RPC Support,eth_sendRawTransaction,Partial,Not Supported,"probes/hardhat/scripts/probe-0x7e.ts - Transaction sent successfully",Extend RPC to handle 0x7e,P0,Hardhat accepts but may not process correctly
Deposit_Transaction,Receipt Generation,Transaction Receipt,Not Supported,Not Supported,Not tested in probes,Generate proper receipt format,P1,Include deposit-specific fields
Deposit_Transaction,Transaction Details,eth_getTransactionByHash,Not Supported,Not Supported,Not tested in probes,Return deposit transaction details,P1,Include all deposit fields